invoice_no,state,total,ccy,invoice_date
INV-1001,PAID,1250.50,INR,2026-01-05T09:30:00Z
INV-1002,PAID,990.00,USD,2026-01-22T14:00:00Z
INV-1003,DRAFT,500.00,INR,2026-02-03T11:15:00Z
INV-1004,PAID,4300.75,INR,2026-02-18T08:45:00Z
INV-1005,VOID,1200.00,USD,2026-02-25T19:00:00Z
INV-1006,PAID,75.25,USD,2026-03-11T16:20:00Z
INV-1007,PAID,9999.99,INR,2026-03-31T18:30:00Z
INV-1008,WRITTEN_OFF,820.00,INR,2026-04-09T10:00:00Z
INV-1009,PAID,150.00,USD,2026-05-14T13:30:00Z
INV-1010,PAID,2600.00,INR,2026-06-02T07:05:00Z
INV-1011,DRAFT,340.00,USD,2026-07-19T18:00:00Z
INV-1012,DISPUTED,999.00,INR,2026-08-08T09:00:00Z
